               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12987,           0.0091112,            0.031714,                   0,                   0,                   0,                   0,             0.11469,           0.0093833,              0.0313,            0.070288,           0.0033013,           0.0033013
                   1,             0.12394,           0.0097155,            0.031052,                   0,                   0,                   0,                   0,             0.11212,           0.0096231,            0.030818,            0.040169,           0.0065152,           0.0065152
                   2,              0.1202,            0.010212,            0.030486,                   0,                   0,                   0,                   0,              0.1092,           0.0099664,            0.030436,           0.0099296,           0.0096091,           0.0096091
                   3,               0.116,             0.01103,            0.030062,          0.00097786,            0.075027,            0.004268,            0.001198,            0.097743,            0.011889,             0.02982,             0.00946,             0.00946,             0.00946
                   4,             0.10416,             0.01235,            0.029656,             0.25162,            0.067519,            0.076793,            0.028467,            0.084685,            0.011599,            0.029027,             0.00946,             0.00946,             0.00946
                   5,            0.095077,            0.011413,            0.028606,             0.64234,             0.15117,             0.13262,            0.049752,            0.070722,           0.0097647,            0.027313,             0.00928,             0.00928,             0.00928
                   6,            0.088524,            0.010552,            0.027446,             0.21465,             0.26574,             0.20996,            0.076936,            0.067514,           0.0089215,              0.0256,              0.0091,              0.0091,              0.0091
                   7,            0.084677,           0.0099448,            0.026083,              0.3125,             0.29971,             0.28464,             0.10669,            0.062546,           0.0083676,            0.023809,             0.00892,             0.00892,             0.00892
                   8,            0.082964,           0.0096733,            0.025145,             0.29657,             0.38508,             0.31617,             0.11617,            0.061119,           0.0078811,            0.022849,             0.00874,             0.00874,             0.00874
                   9,            0.081102,           0.0095991,            0.024425,             0.38775,             0.40326,             0.40533,             0.16289,            0.056563,           0.0078331,            0.021615,             0.00856,             0.00856,             0.00856
                  10,            0.078585,           0.0091797,              0.0233,             0.40897,              0.4885,             0.44469,             0.18371,            0.055243,           0.0073843,            0.020148,             0.00838,             0.00838,             0.00838
                  11,            0.077833,           0.0091029,            0.022097,             0.45436,             0.53415,             0.50165,             0.19123,            0.056274,           0.0071568,             0.01832,              0.0082,              0.0082,              0.0082
                  12,            0.075862,            0.008908,            0.020826,             0.48618,             0.59204,             0.53701,             0.22028,            0.054493,           0.0068763,             0.01719,             0.00802,             0.00802,             0.00802
                  13,            0.074235,           0.0087094,            0.019713,              0.4768,             0.60221,             0.53638,             0.22426,            0.053017,           0.0067376,            0.016107,             0.00784,             0.00784,             0.00784
                  14,             0.07247,           0.0085229,            0.019044,             0.50776,             0.64972,             0.58717,             0.24682,            0.051071,           0.0065941,            0.015106,             0.00766,             0.00766,             0.00766
                  15,            0.071856,           0.0084639,             0.01849,             0.55371,             0.64783,             0.61015,             0.26602,             0.05053,             0.00656,            0.014325,             0.00748,             0.00748,             0.00748
                  16,             0.07107,           0.0083189,            0.017439,             0.56541,             0.71101,             0.63795,             0.27247,            0.049027,           0.0063087,            0.013459,              0.0073,              0.0073,              0.0073
                  17,            0.069961,           0.0083761,            0.017104,             0.58285,             0.72386,             0.66631,             0.29605,            0.047036,           0.0060998,            0.012895,             0.00712,             0.00712,             0.00712
                  18,            0.069153,           0.0082001,            0.016521,             0.60592,             0.71032,             0.67194,             0.27694,            0.048994,           0.0060539,            0.012344,             0.00694,             0.00694,             0.00694
                  19,            0.068268,           0.0080164,            0.016044,             0.65984,             0.72904,             0.73114,             0.31716,            0.046947,           0.0059208,            0.011542,             0.00676,             0.00676,             0.00676
                  20,              0.0679,           0.0081874,            0.015641,             0.75272,             0.70705,             0.76025,             0.33429,            0.046477,           0.0059127,            0.010695,             0.00658,             0.00658,             0.00658
                  21,            0.066464,           0.0079535,            0.014912,              0.8011,             0.74409,             0.78609,             0.35596,            0.045378,           0.0057959,           0.0096718,              0.0064,              0.0064,              0.0064
                  22,            0.066971,           0.0079881,            0.014413,             0.84546,             0.75261,             0.80962,             0.34978,             0.04757,           0.0057229,           0.0084376,             0.00622,             0.00622,             0.00622
                  23,            0.065443,           0.0079165,            0.013548,             0.85099,             0.77132,             0.82676,             0.36615,            0.046291,            0.005724,           0.0081007,             0.00604,             0.00604,             0.00604
                  24,            0.064227,            0.007745,            0.012756,             0.87292,             0.77902,             0.83869,             0.37926,            0.045468,           0.0056623,            0.007182,             0.00586,             0.00586,             0.00586
                  25,            0.063443,           0.0076489,            0.012269,             0.88915,             0.78007,              0.8492,             0.39329,            0.044634,           0.0056813,           0.0066159,             0.00568,             0.00568,             0.00568
                  26,            0.063412,           0.0077072,            0.012047,             0.88636,             0.79943,             0.85816,             0.39692,            0.044456,            0.005613,           0.0061834,              0.0055,              0.0055,              0.0055
                  27,            0.062949,           0.0077149,            0.011617,             0.88876,             0.81148,             0.86649,             0.39165,            0.043965,           0.0056207,           0.0055706,             0.00532,             0.00532,             0.00532
                  28,             0.05987,           0.0075304,            0.010257,             0.89982,             0.82369,             0.87893,             0.39984,             0.04464,           0.0055367,           0.0052478,             0.00514,             0.00514,             0.00514
                  29,            0.061818,           0.0075466,            0.010898,             0.89918,             0.84637,              0.8903,             0.42623,            0.042497,           0.0053696,           0.0049896,             0.00496,             0.00496,             0.00496
                  30,            0.061211,           0.0074351,            0.010616,             0.90786,               0.832,             0.88972,             0.42201,            0.042377,           0.0053142,           0.0048859,             0.00478,             0.00478,             0.00478
                  31,            0.061468,           0.0076422,            0.010504,             0.92468,             0.83631,             0.89788,             0.41735,            0.042759,           0.0053497,           0.0045797,              0.0046,              0.0046,              0.0046
                  32,             0.06029,           0.0074214,           0.0099674,             0.92024,             0.84527,             0.89855,             0.43032,            0.042646,           0.0053892,           0.0043306,             0.00442,             0.00442,             0.00442
                  33,            0.060556,           0.0075087,            0.010119,              0.9193,             0.84663,             0.90062,             0.43823,             0.04191,           0.0053339,           0.0040822,             0.00424,             0.00424,             0.00424
                  34,            0.058957,           0.0073961,           0.0095302,              0.9027,             0.86272,             0.89704,             0.42701,            0.042492,           0.0052832,           0.0044632,             0.00406,             0.00406,             0.00406
                  35,            0.058295,           0.0072625,           0.0091226,             0.92441,             0.84854,             0.90552,             0.43764,            0.041373,            0.005251,           0.0041467,             0.00388,             0.00388,             0.00388
                  36,            0.057637,           0.0071765,           0.0090127,             0.93162,             0.84956,              0.9062,             0.45196,            0.041044,           0.0052437,           0.0040963,              0.0037,              0.0037,              0.0037
                  37,            0.057606,           0.0072473,           0.0091137,             0.92169,             0.86458,             0.90304,             0.44127,            0.041401,           0.0051597,            0.003809,             0.00352,             0.00352,             0.00352
                  38,            0.055981,           0.0072025,           0.0085652,              0.9163,             0.87387,             0.91227,             0.45639,            0.040171,           0.0051531,            0.003566,             0.00334,             0.00334,             0.00334
                  39,            0.056619,           0.0071228,           0.0086558,             0.93521,              0.8717,             0.91822,             0.46342,            0.040015,           0.0051208,           0.0034554,             0.00316,             0.00316,             0.00316
                  40,            0.056113,           0.0070448,            0.008546,             0.93964,             0.85748,             0.91337,             0.44339,            0.041411,            0.005144,           0.0035866,             0.00298,             0.00298,             0.00298
                  41,            0.056633,            0.007256,           0.0085248,             0.93165,             0.86925,             0.91701,             0.46253,            0.039687,            0.005036,           0.0032944,              0.0028,              0.0028,              0.0028
                  42,            0.055367,           0.0070617,           0.0081666,              0.9304,             0.88417,             0.92359,             0.46257,            0.039817,           0.0050433,           0.0032998,             0.00262,             0.00262,             0.00262
                  43,            0.055924,           0.0071179,           0.0083054,             0.95547,             0.86062,             0.91841,             0.46499,            0.039745,           0.0050923,           0.0033088,             0.00244,             0.00244,             0.00244
                  44,            0.054357,           0.0070387,            0.007875,              0.9362,             0.87961,             0.92235,             0.46207,             0.03984,           0.0050137,           0.0031887,             0.00226,             0.00226,             0.00226
                  45,            0.053752,           0.0069141,           0.0075716,             0.94207,             0.85849,             0.92091,             0.46474,            0.039259,           0.0050503,           0.0033075,             0.00208,             0.00208,             0.00208
                  46,            0.053318,           0.0068347,           0.0075327,             0.94112,             0.87283,             0.92078,             0.47227,            0.039445,           0.0051263,           0.0031403,              0.0019,              0.0019,              0.0019
                  47,            0.053244,           0.0069177,           0.0076409,             0.91727,             0.89887,             0.92596,             0.47592,            0.039083,           0.0049803,           0.0029582,             0.00172,             0.00172,             0.00172
                  48,            0.056222,           0.0069722,           0.0084078,             0.94368,             0.88806,             0.92942,             0.47817,            0.038743,           0.0049783,           0.0029092,             0.00154,             0.00154,             0.00154
                  49,            0.052051,           0.0068698,            0.007331,             0.93977,             0.89471,             0.93471,             0.47962,            0.038491,            0.004932,           0.0028727,             0.00136,             0.00136,             0.00136
