               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1302,           0.0091153,            0.031827,                   0,                   0,                   0,                   0,             0.11483,           0.0094455,            0.031233,            0.070288,           0.0033013,           0.0033013
                   1,             0.12349,           0.0099312,            0.031021,                   0,                   0,                   0,                   0,             0.11154,           0.0098864,            0.030803,            0.040169,           0.0065152,           0.0065152
                   2,             0.12043,            0.010489,            0.030515,                   0,                   0,                   0,                   0,              0.1083,            0.010322,            0.030331,           0.0099296,           0.0096091,           0.0096091
                   3,             0.11702,            0.010757,            0.030027,           0.0018745,             0.18233,             0.02755,            0.006968,            0.098091,            0.011785,            0.029818,             0.00946,             0.00946,             0.00946
                   4,             0.10603,            0.011803,            0.029439,             0.93752,              0.1046,             0.11291,            0.038273,            0.079643,             0.01264,            0.028292,             0.00946,             0.00946,             0.00946
                   5,            0.096682,            0.011624,            0.028178,            0.058662,             0.21295,            0.082798,            0.027327,            0.075775,            0.010059,            0.025978,             0.00928,             0.00928,             0.00928
                   6,            0.091165,            0.010395,            0.026547,             0.11852,             0.17254,             0.11141,            0.037489,            0.068096,           0.0089434,            0.024562,              0.0091,              0.0091,              0.0091
                   7,            0.088077,           0.0099862,            0.025568,             0.56841,             0.30208,              0.2997,             0.10609,            0.062108,           0.0082001,            0.023397,             0.00892,             0.00892,             0.00892
                   8,            0.084058,           0.0097101,             0.02466,             0.33246,             0.37433,             0.35381,             0.13348,            0.060255,           0.0079707,             0.02246,             0.00874,             0.00874,             0.00874
                   9,             0.08123,           0.0093737,            0.023671,             0.37639,              0.4409,             0.41051,             0.16537,            0.057341,           0.0075006,            0.021264,             0.00856,             0.00856,             0.00856
                  10,            0.078875,           0.0090984,            0.022695,             0.39017,              0.4615,             0.45067,              0.1657,            0.058699,           0.0074731,            0.019451,             0.00838,             0.00838,             0.00838
                  11,            0.077391,           0.0089783,            0.021711,             0.44513,             0.51923,             0.49056,             0.18931,            0.056697,            0.007084,            0.018297,              0.0082,              0.0082,              0.0082
                  12,            0.076498,           0.0087025,            0.020367,             0.47328,             0.58326,             0.54446,             0.22603,            0.052585,           0.0067357,             0.01711,             0.00802,             0.00802,             0.00802
                  13,            0.075069,           0.0087496,            0.019794,              0.4984,              0.6334,             0.55544,             0.23546,            0.052347,           0.0066761,            0.016292,             0.00784,             0.00784,             0.00784
                  14,            0.073872,           0.0085221,            0.018864,             0.50676,             0.63905,             0.57334,             0.23259,            0.051131,           0.0064897,            0.015186,             0.00766,             0.00766,             0.00766
                  15,            0.072714,           0.0083905,            0.018221,             0.51815,             0.67072,             0.60345,              0.2626,            0.049733,           0.0063344,            0.014504,             0.00748,             0.00748,             0.00748
                  16,            0.071981,           0.0084657,            0.017747,             0.54702,              0.7173,             0.63633,             0.26893,             0.04905,           0.0062395,            0.013884,              0.0073,              0.0073,              0.0073
                  17,            0.070482,           0.0082077,            0.017178,             0.61849,             0.69203,             0.65404,             0.28723,            0.047377,           0.0060941,            0.013222,             0.00712,             0.00712,             0.00712
                  18,            0.070248,           0.0082325,            0.016922,             0.59475,             0.73246,             0.65958,             0.28027,            0.048218,           0.0060434,             0.01275,             0.00694,             0.00694,             0.00694
                  19,            0.068531,           0.0081009,            0.016326,             0.59984,             0.72612,             0.69151,             0.31883,            0.046503,           0.0058664,            0.012325,             0.00676,             0.00676,             0.00676
                  20,            0.066919,           0.0079412,             0.01581,             0.62863,             0.70254,              0.7026,             0.33103,            0.045214,           0.0059524,            0.011853,             0.00658,             0.00658,             0.00658
                  21,            0.066293,           0.0078312,            0.015404,             0.73336,             0.72142,             0.75596,              0.3456,            0.045094,           0.0057949,            0.011306,              0.0064,              0.0064,              0.0064
                  22,            0.066052,           0.0079101,            0.015011,             0.77421,             0.73812,              0.7872,              0.3611,              0.0456,           0.0056456,            0.010502,             0.00622,             0.00622,             0.00622
                  23,            0.065526,            0.007716,            0.014131,             0.81892,             0.72756,              0.7876,             0.36758,            0.045096,           0.0057851,            0.009707,             0.00604,             0.00604,             0.00604
                  24,            0.064975,           0.0078246,            0.013834,             0.83711,             0.79143,             0.83582,             0.38841,            0.043995,            0.005598,           0.0084325,             0.00586,             0.00586,             0.00586
                  25,            0.061672,            0.007573,            0.012386,             0.86304,             0.79082,             0.84695,             0.38284,            0.044351,           0.0056012,           0.0077746,             0.00568,             0.00568,             0.00568
                  26,            0.063951,           0.0076704,            0.012604,             0.89851,             0.79144,             0.85735,             0.39925,            0.043878,           0.0054937,           0.0070287,              0.0055,              0.0055,              0.0055
                  27,            0.063576,           0.0075682,            0.012147,             0.89186,             0.80666,             0.86129,              0.3887,             0.04511,           0.0056257,           0.0065757,             0.00532,             0.00532,             0.00532
                  28,            0.059706,           0.0074767,            0.010892,             0.89512,             0.82008,             0.87462,             0.41745,            0.042665,           0.0054464,           0.0060358,             0.00514,             0.00514,             0.00514
                  29,            0.060094,           0.0074414,            0.010592,             0.91662,             0.81936,             0.87233,             0.42273,            0.042902,           0.0055254,           0.0059166,             0.00496,             0.00496,             0.00496
                  30,            0.059628,           0.0073464,            0.010271,             0.90821,             0.82344,             0.87716,             0.39472,            0.045065,           0.0054883,           0.0054552,             0.00478,             0.00478,             0.00478
                  31,            0.062604,           0.0076994,            0.011114,             0.90103,             0.83555,             0.88283,             0.42712,            0.042055,           0.0054255,           0.0049335,              0.0046,              0.0046,              0.0046
                  32,            0.061435,           0.0074526,            0.010568,             0.92935,             0.83172,             0.89063,             0.42231,            0.042427,           0.0053853,            0.004802,             0.00442,             0.00442,             0.00442
                  33,            0.061618,           0.0075212,            0.010515,             0.92068,              0.8462,             0.89461,             0.43229,            0.042309,           0.0054349,           0.0043486,             0.00424,             0.00424,             0.00424
                  34,            0.059921,           0.0074159,            0.010067,             0.93872,             0.84906,             0.90756,             0.43591,            0.041954,           0.0052101,            0.004334,             0.00406,             0.00406,             0.00406
                  35,            0.058991,           0.0072741,           0.0096555,             0.93082,             0.84951,             0.90139,             0.44505,            0.040914,           0.0052501,           0.0044212,             0.00388,             0.00388,             0.00388
                  36,            0.058538,           0.0071931,           0.0093736,             0.92881,              0.8568,             0.90364,               0.451,            0.041106,           0.0052727,           0.0040829,              0.0037,              0.0037,              0.0037
                  37,            0.058112,           0.0072591,           0.0094413,             0.94075,             0.85392,             0.91315,             0.45524,            0.040628,           0.0051518,           0.0038172,             0.00352,             0.00352,             0.00352
                  38,            0.058008,           0.0071134,           0.0090599,             0.92952,             0.86424,             0.90835,             0.45104,            0.040166,           0.0052099,           0.0037128,             0.00334,             0.00334,             0.00334
                  39,            0.055211,           0.0071282,           0.0084977,             0.93249,             0.86928,             0.92003,             0.46327,            0.039838,           0.0051088,           0.0036571,             0.00316,             0.00316,             0.00316
                  40,            0.055238,           0.0070347,           0.0083663,             0.94459,             0.87172,             0.91709,             0.46504,            0.039268,            0.005114,           0.0036121,             0.00298,             0.00298,             0.00298
                  41,            0.055048,           0.0069552,           0.0082757,             0.93929,             0.86859,             0.91815,             0.45867,            0.039969,           0.0051384,           0.0034863,              0.0028,              0.0028,              0.0028
                  42,            0.056754,           0.0072536,           0.0086883,             0.94498,             0.87124,             0.92055,             0.46874,            0.039251,           0.0050888,           0.0033142,             0.00262,             0.00262,             0.00262
                  43,            0.055542,            0.007039,           0.0083841,             0.93903,             0.87381,             0.91903,             0.45752,            0.039825,           0.0050868,           0.0033242,             0.00244,             0.00244,             0.00244
                  44,            0.056122,           0.0070993,           0.0084014,             0.93978,             0.88392,             0.92596,             0.47306,            0.038894,           0.0050611,            0.003158,             0.00226,             0.00226,             0.00226
                  45,            0.054515,           0.0069977,           0.0080746,              0.9451,             0.87537,             0.92702,             0.47296,            0.038897,           0.0049772,           0.0030655,             0.00208,             0.00208,             0.00208
                  46,            0.053919,           0.0068903,           0.0078037,             0.93015,             0.89161,               0.927,             0.47313,            0.038398,           0.0049198,           0.0032685,              0.0019,              0.0019,              0.0019
                  47,            0.053745,           0.0068204,            0.007664,             0.94731,             0.88484,             0.92627,             0.47632,            0.038676,           0.0049858,           0.0030169,             0.00172,             0.00172,             0.00172
                  48,            0.053434,           0.0068688,           0.0077483,             0.95021,             0.87816,              0.9276,              0.4804,            0.038475,            0.004939,            0.003134,             0.00154,             0.00154,             0.00154
                  49,            0.051533,           0.0067902,             0.00722,             0.95046,             0.88521,             0.93151,              0.4829,            0.038322,           0.0049335,           0.0029353,             0.00136,             0.00136,             0.00136
