               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13084,           0.0088869,            0.031893,                   0,                   0,                   0,                   0,             0.11539,           0.0092837,             0.03133,            0.070288,           0.0033013,           0.0033013
                   1,             0.12377,           0.0098064,            0.031099,                   0,                   0,                   0,                   0,             0.11119,            0.010046,             0.03092,            0.040189,           0.0065351,           0.0065351
                   2,             0.11959,            0.010481,             0.03053,                   0,                   0,                   0,                   0,             0.10569,             0.01092,            0.030335,           0.0099894,           0.0096689,           0.0096689
                   3,             0.11023,             0.01217,            0.030158,           0.0072641,             0.51201,            0.028246,           0.0075691,            0.083649,            0.013448,            0.030157,             0.00955,             0.00955,             0.00955
                   4,            0.094865,            0.012285,            0.029648,            0.096979,             0.12566,            0.065668,            0.023765,            0.068433,             0.01107,            0.029044,             0.00955,             0.00955,             0.00955
                   5,            0.088179,            0.010372,             0.02837,             0.13598,             0.41225,             0.21755,            0.082184,            0.060768,            0.008735,            0.026576,              0.0094,              0.0094,              0.0094
                   6,            0.082574,           0.0097084,            0.026758,             0.21686,             0.53024,             0.33415,             0.13342,            0.057678,           0.0073165,            0.024624,             0.00925,             0.00925,             0.00925
                   7,            0.078925,           0.0092099,            0.025306,             0.22615,             0.54238,              0.3825,             0.16182,            0.054183,           0.0069331,             0.02331,              0.0091,              0.0091,              0.0091
                   8,            0.076682,           0.0089412,             0.02444,             0.29809,              0.5024,             0.46634,             0.19948,            0.052587,            0.006741,            0.021841,             0.00895,             0.00895,             0.00895
                   9,            0.074909,           0.0087587,            0.023257,             0.44953,             0.58362,             0.55297,              0.2166,            0.052647,           0.0063925,            0.019967,              0.0088,              0.0088,              0.0088
                  10,             0.07355,             0.00851,            0.021367,             0.47275,             0.66055,             0.57174,             0.23926,             0.05169,           0.0063752,            0.017971,             0.00865,             0.00865,             0.00865
                  11,            0.072615,           0.0084947,            0.019946,             0.52851,             0.71658,              0.5985,             0.26506,            0.051017,           0.0061541,             0.01618,              0.0085,              0.0085,              0.0085
                  12,            0.071377,           0.0082609,            0.018642,             0.55624,              0.7531,              0.6477,             0.28048,            0.048425,           0.0058633,            0.014798,             0.00835,             0.00835,             0.00835
                  13,            0.070304,           0.0080683,            0.017746,              0.5543,             0.75239,             0.64771,             0.29125,            0.047831,           0.0059044,            0.014087,              0.0082,              0.0082,              0.0082
                  14,            0.069707,           0.0082009,            0.017294,             0.60305,             0.77285,             0.69434,             0.31472,            0.046398,           0.0056321,            0.013016,             0.00805,             0.00805,             0.00805
                  15,            0.068084,           0.0079116,            0.016604,             0.65486,             0.73385,              0.7016,             0.32048,            0.046504,           0.0057686,            0.012335,              0.0079,              0.0079,              0.0079
                  16,            0.068208,           0.0079168,            0.016128,             0.70894,              0.7611,             0.72532,             0.31476,            0.047332,           0.0056062,            0.011589,             0.00775,             0.00775,             0.00775
                  17,            0.066721,           0.0077831,            0.015302,             0.78134,             0.77901,             0.79239,             0.36076,            0.045437,            0.005507,            0.010719,              0.0076,              0.0076,              0.0076
                  18,            0.064943,           0.0076441,            0.014428,             0.85706,             0.77246,             0.82609,             0.38566,            0.044982,           0.0054414,           0.0099227,             0.00745,             0.00745,             0.00745
